location,year,bloom_date,normal_date,substitute_species
岐阜,2009,2009/3/18,3月25日,
岐阜,2010,2010/3/20,3月25日,
名古屋,2001,2001/3/26,3月24日,
名古屋,2002,2002/3/19,3月24日,
名古屋,2003,2003/3/24,3月24日,
名古屋,2004,2004/3/23,3月24日,
名古屋,2005,2005/3/31,3月24日,
名古屋,2006,2006/3/26,3月24日,
名古屋,2007,2007/3/23,3月24日,
名古屋,2008,2008/3/22,3月24日,
名古屋,2009,2009/3/19,3月24日,
名古屋,2010,2010/3/18,3月24日,
甲府,2001,2001/3/25,3月25日,
甲府,2002,2002/3/17,3月25日,
甲府,2003,2003/3/27,3月25日,
甲府,2004,2004/3/24,3月25日,
甲府,2005,2005/3/31,3月25日,
甲府,2006,2006/3/24,3月25日,
甲府,2007,2007/3/21,3月25日,
甲府,2008,2008/3/24,3月25日,
甲府,2009,2009/3/20,3月25日,
甲府,2010,2010/3/20,3月25日,
銚子,2001,2001/3/26,3月30日,
銚子,2002,2002/3/19,3月30日,
銚子,2003,2003/3/28,3月30日,
銚子,2004,2004/3/30,3月30日,
銚子,2005,2005/4/7,3月30日,
銚子,2006,2006/3/25,3月30日,
銚子,2007,2007/3/30,3月30日,
銚子,2008,2008/3/25,3月30日,
銚子,2009,2009/4/1,3月30日,
銚子,2010,2010/4/1,3月30日,
津,2001,2001/3/28,3月29日,
津,2002,2002/3/21,3月29日,
津,2003,2003/3/28,3月29日,
津,2004,2004/3/28,3月29日,
津,2005,2005/4/3,3月29日,
津,2006,2006/3/31,3月29日,
津,2007,2007/3/26,3月29日,
津,2008,2008/3/27,3月29日,
津,2009,2009/3/23,3月29日,
津,2010,2010/3/24,3月29日,
静岡,2001,2001/3/23,3月24日,
静岡,2002,2002/3/15,3月24日,
静岡,2003,2003/3/21,3月24日,
静岡,2004,2004/3/18,3月24日,
静岡,2005,2005/3/29,3月24日,
静岡,2006,2006/3/17,3月24日,
静岡,2007,2007/3/24,3月24日,
静岡,2008,2008/3/22,3月24日,
静岡,2009,2009/3/19,3月24日,
静岡,2010,2010/3/17,3月24日,
東京,2001,2001/3/23,3月24日,
東京,2002,2002/3/16,3月24日,
東京,2003,2003/3/27,3月24日,
東京,2004,2004/3/18,3月24日,
東京,2005,2005/3/31,3月24日,
東京,2006,2006/3/21,3月24日,
東京,2007,2007/3/20,3月24日,
東京,2008,2008/3/22,3月24日,
東京,2009,2009/3/21,3月24日,
東京,2010,2010/3/22,3月24日,
横浜,2001,2001/3/22,3月25日,
横浜,2002,2002/3/15,3月25日,
横浜,2003,2003/3/27,3月25日,
横浜,2004,2004/3/18,3月25日,
横浜,2005,2005/4/2,3月25日,
横浜,2006,2006/3/21,3月25日,
横浜,2007,2007/3/23,3月25日,
横浜,2008,2008/3/23,3月25日,
横浜,2009,2009/3/22,3月25日,
横浜,2010,2010/3/22,3月25日,
松江,2001,2001/3/26,3月29日,
松江,2002,2002/3/22,3月29日,
松江,2003,2003/3/31,3月29日,
松江,2004,2004/3/21,3月29日,
松江,2005,2005/4/5,3月29日,
松江,2006,2006/3/28,3月29日,
松江,2007,2007/3/26,3月29日,
松江,2008,2008/4/1,3月29日,
松江,2009,2009/3/22,3月29日,
松江,2010,2010/3/22,3月29日,
鳥取,2001,2001/3/26,3月29日,
鳥取,2002,2002/3/22,3月29日,
鳥取,2003,2003/3/31,3月29日,
鳥取,2004,2004/3/24,3月29日,
鳥取,2005,2005/4/5,3月29日,
鳥取,2006,2006/4/1,3月29日,
鳥取,2007,2007/3/25,3月29日,
鳥取,2008,2008/3/29,3月29日,
鳥取,2009,2009/3/22,3月29日,
鳥取,2010,2010/3/25,3月29日,
京都,2001,2001/3/24,3月26日,
京都,2002,2002/3/18,3月26日,
京都,2003,2003/3/28,3月26日,
京都,2004,2004/3/24,3月26日,
京都,2005,2005/4/2,3月26日,
京都,2006,2006/3/27,3月26日,
京都,2007,2007/3/25,3月26日,
京都,2008,2008/3/24,3月26日,
京都,2009,2009/3/19,3月26日,
京都,2010,2010/3/19,3月26日,
彦根,2001,2001/4/1,4月1日,
彦根,2002,2002/3/26,4月1日,
彦根,2003,2003/3/31,4月1日,
彦根,2004,2004/3/28,4月1日,
彦根,2005,2005/4/6,4月1日,
彦根,2006,2006/4/6,4月1日,
彦根,2007,2007/3/30,4月1日,
彦根,2008,2008/3/30,4月1日,
彦根,2009,2009/3/28,4月1日,
彦根,2010,2010/4/1,4月1日,
広島,2001,2001/3/23,3月25日,
広島,2002,2002/3/20,3月25日,
広島,2003,2003/3/25,3月25日,
広島,2004,2004/3/19,3月25日,
広島,2005,2005/4/3,3月25日,
広島,2006,2006/3/22,3月25日,
広島,2007,2007/3/22,3月25日,
広島,2008,2008/3/25,3月25日,
広島,2009,2009/3/22,3月25日,
広島,2010,2010/3/20,3月25日,
岡山,2001,2001/3/26,3月28日,
岡山,2002,2002/3/20,3月28日,
岡山,2003,2003/3/29,3月28日,
岡山,2004,2004/3/25,3月28日,
岡山,2005,2005/4/3,3月28日,
岡山,2006,2006/3/29,3月28日,
岡山,2007,2007/3/26,3月28日,
岡山,2008,2008/3/26,3月28日,
岡山,2009,2009/3/21,3月28日,
岡山,2010,2010/3/22,3月28日,
神戸,2001,2001/3/25,3月27日,
神戸,2002,2002/3/22,3月27日,
神戸,2003,2003/3/28,3月27日,
神戸,2004,2004/3/26,3月27日,
神戸,2005,2005/4/3,3月27日,
神戸,2006,2006/3/27,3月27日,
神戸,2007,2007/3/30,3月27日,
神戸,2008,2008/3/26,3月27日,
神戸,2009,2009/3/23,3月27日,
神戸,2010,2010/3/20,3月27日,
大阪,2001,2001/3/25,3月27日,
大阪,2002,2002/3/20,3月27日,
大阪,2003,2003/3/27,3月27日,
大阪,2004,2004/3/23,3月27日,
大阪,2005,2005/4/3,3月27日,
大阪,2006,2006/3/28,3月27日,
大阪,2007,2007/3/27,3月27日,
大阪,2008,2008/3/26,3月27日,
大阪,2009,2009/3/24,3月27日,
大阪,2010,2010/3/21,3月27日,
和歌山,2001,2001/3/23,3月24日,
和歌山,2002,2002/3/16,3月24日,
和歌山,2003,2003/3/26,3月24日,
和歌山,2004,2004/3/19,3月24日,
和歌山,2005,2005/3/29,3月24日,
和歌山,2006,2006/3/25,3月24日,
和歌山,2007,2007/3/26,3月24日,
和歌山,2008,2008/3/24,3月24日,
和歌山,2009,2009/3/21,3月24日,
和歌山,2010,2010/3/18,3月24日,
奈良,2001,2001/3/26,3月28日,
奈良,2002,2002/3/20,3月28日,
奈良,2003,2003/3/30,3月28日,
奈良,2004,2004/3/25,3月28日,
奈良,2005,2005/4/2,3月28日,
奈良,2006,2006/3/29,3月28日,
奈良,2007,2007/3/27,3月28日,
奈良,2008,2008/3/26,3月28日,
奈良,2009,2009/3/23,3月28日,
奈良,2010,2010/3/20,3月28日,
松山,2001,2001/3/24,3月24日,
松山,2002,2002/3/18,3月24日,
松山,2003,2003/3/26,3月24日,
松山,2004,2004/3/19,3月24日,
松山,2005,2005/4/1,3月24日,
松山,2006,2006/3/24,3月24日,
松山,2007,2007/3/23,3月24日,
松山,2008,2008/3/25,3月24日,
松山,2009,2009/3/17,3月24日,
松山,2010,2010/3/14,3月24日,
高松,2001,2001/3/26,3月27日,
高松,2002,2002/3/18,3月27日,
高松,2003,2003/3/28,3月27日,
高松,2004,2004/3/24,3月27日,
高松,2005,2005/4/1,3月27日,
高松,2006,2006/3/27,3月27日,
高松,2007,2007/3/28,3月27日,
高松,2008,2008/3/25,3月27日,
高松,2009,2009/3/20,3月27日,
高松,2010,2010/3/20,3月27日,
高知,2001,2001/3/21,3月22日,
高知,2002,2002/3/17,3月22日,
高知,2003,2003/3/18,3月22日,
高知,2004,2004/3/19,3月22日,
高知,2005,2005/3/31,3月22日,
高知,2006,2006/3/15,3月22日,
高知,2007,2007/3/23,3月22日,
高知,2008,2008/3/24,3月22日,
高知,2009,2009/3/16,3月22日,
高知,2010,2010/3/10,3月22日,
徳島,2001,2001/3/25,3月28日,
徳島,2002,2002/3/19,3月28日,
徳島,2003,2003/3/27,3月28日,
徳島,2004,2004/3/26,3月28日,
徳島,2005,2005/3/31,3月28日,
徳島,2006,2006/3/27,3月28日,
徳島,2007,2007/3/27,3月28日,
徳島,2008,2008/3/25,3月28日,
徳島,2009,2009/3/23,3月28日,
徳島,2010,2010/3/26,3月28日,
下関,2001,2001/3/26,3月26日,
下関,2002,2002/3/19,3月26日,
下関,2003,2003/3/25,3月26日,
下関,2004,2004/3/23,3月26日,
下関,2005,2005/3/31,3月26日,
下関,2006,2006/3/25,3月26日,
下関,2007,2007/3/23,3月26日,
下関,2008,2008/3/26,3月26日,
下関,2009,2009/3/18,3月26日,
下関,2010,2010/3/20,3月26日,
福岡,2001,2001/3/22,3月22日,
福岡,2002,2002/3/15,3月22日,
福岡,2003,2003/3/22,3月22日,
福岡,2004,2004/3/17,3月22日,
福岡,2005,2005/3/29,3月22日,
福岡,2006,2006/3/23,3月22日,
福岡,2007,2007/3/21,3月22日,
福岡,2008,2008/3/24,3月22日,
福岡,2009,2009/3/13,3月22日,
福岡,2010,2010/3/14,3月22日,
佐賀,2001,2001/3/24,3月24日,
佐賀,2002,2002/3/17,3月24日,
佐賀,2003,2003/3/21,3月24日,
佐賀,2004,2004/3/23,3月24日,
佐賀,2005,2005/3/31,3月24日,
佐賀,2006,2006/3/23,3月24日,
佐賀,2007,2007/3/24,3月24日,
佐賀,2008,2008/3/24,3月24日,
佐賀,2009,2009/3/19,3月24日,
佐賀,2010,2010/3/21,3月24日,
大分,2001,2001/3/23,3月24日,
大分,2002,2002/3/17,3月24日,
大分,2003,2003/3/24,3月24日,
大分,2004,2004/3/19,3月24日,
大分,2005,2005/3/31,3月24日,
大分,2006,2006/3/23,3月24日,
大分,2007,2007/3/22,3月24日,
大分,2008,2008/3/24,3月24日,
大分,2009,2009/3/17,3月24日,
大分,2010,2010/3/17,3月24日,
長崎,2001,2001/3/22,3月23日,
長崎,2002,2002/3/19,3月23日,
長崎,2003,2003/3/19,3月23日,
長崎,2004,2004/3/23,3月23日,
長崎,2005,2005/4/1,3月23日,
長崎,2006,2006/3/22,3月23日,
長崎,2007,2007/3/24,3月23日,
長崎,2008,2008/3/24,3月23日,
長崎,2009,2009/3/21,3月23日,
長崎,2010,2010/3/18,3月23日,
熊本,2001,2001/3/23,3月22日,
熊本,2002,2002/3/16,3月22日,
熊本,2003,2003/3/20,3月22日,
熊本,2004,2004/3/24,3月22日,
熊本,2005,2005/4/1,3月22日,
熊本,2006,2006/3/20,3月22日,
熊本,2007,2007/3/23,3月22日,
熊本,2008,2008/3/22,3月22日,
熊本,2009,2009/3/16,3月22日,
熊本,2010,2010/3/16,3月22日,
鹿児島,2001,2001/3/30,3月26日,
鹿児島,2002,2002/3/27,3月26日,
鹿児島,2003,2003/3/24,3月26日,
鹿児島,2004,2004/3/29,3月26日,
鹿児島,2005,2005/4/3,3月26日,
鹿児島,2006,2006/3/20,3月26日,
鹿児島,2007,2007/3/30,3月26日,
鹿児島,2008,2008/3/28,3月26日,
鹿児島,2009,2009/3/19,3月26日,
鹿児島,2010,2010/3/23,3月26日,
宮崎,2001,2001/3/22,3月23日,
宮崎,2002,2002/3/18,3月23日,
宮崎,2003,2003/3/23,3月23日,
宮崎,2004,2004/3/26,3月23日,
宮崎,2005,2005/3/28,3月23日,
宮崎,2006,2006/3/18,3月23日,
宮崎,2007,2007/3/26,3月23日,
宮崎,2008,2008/3/26,3月23日,
宮崎,2009,2009/3/16,3月23日,
宮崎,2010,2010/3/17,3月23日,
名瀬,2001,2001/1/26,1月20日,ひかんざくら
名瀬,2002,2002/1/17,1月20日,ひかんざくら
名瀬,2003,2003/1/1,1月20日,ひかんざくら
名瀬,2004,2004/1/20,1月20日,ひかんざくら
名瀬,2005,2005/1/25,1月20日,ひかんざくら
名瀬,2006,2006/1/16,1月20日,ひかんざくら
名瀬,2007,2007/1/29,1月20日,ひかんざくら
名瀬,2008,2008/1/21,1月20日,ひかんざくら
名瀬,2009,2009/1/22,1月20日,ひかんざくら
名瀬,2010,2010/1/22,1月20日,ひかんざくら
石垣島,2001,2001/1/9,1月18日,ひかんざくら
石垣島,2002,2002/1/4,1月18日,ひかんざくら
石垣島,2003,2003/1/31,1月18日,ひかんざくら
石垣島,2004,2004/1/15,1月18日,ひかんざくら
石垣島,2005,2005/1/7,1月18日,ひかんざくら
石垣島,2006,2006/1/15,1月18日,ひかんざくら
石垣島,2007,2007/2/5,1月18日,ひかんざくら
石垣島,2008,2008/1/27,1月18日,ひかんざくら
石垣島,2009,2009/1/19,1月18日,ひかんざくら
石垣島,2010,2010/1/15,1月18日,ひかんざくら
南大東島,2001,2001/1/16,1月20日,ひかんざくら
南大東島,2002,2002/1/4,1月20日,ひかんざくら
南大東島,2003,2003/1/12,1月20日,ひかんざくら
南大東島,2004,2004/1/22,1月20日,ひかんざくら
南大東島,2005,2005/2/3,1月20日,ひかんざくら
南大東島,2006,2006/1/15,1月20日,ひかんざくら
南大東島,2007,2007/2/2,1月20日,ひかんざくら
南大東島,2008,2008/1/25,1月20日,ひかんざくら
南大東島,2009,2009/1/25,1月20日,ひかんざくら
南大東島,2010,2010/1/26,1月20日,ひかんざくら
稚内,2011,2011/5/19,5月13日,えぞやまざくら
稚内,2012,2012/5/14,5月13日,えぞやまざくら
稚内,2013,2013/5/26,5月13日,えぞやまざくら
稚内,2014,2014/5/11,5月13日,えぞやまざくら
稚内,2015,2015/5/3,5月13日,えぞやまざくら
稚内,2016,2016/5/13,5月13日,えぞやまざくら
稚内,2017,2017/5/9,5月13日,えぞやまざくら
稚内,2018,2018/5/12,5月13日,えぞやまざくら
稚内,2019,2019/5/7,5月13日,えぞやまざくら
稚内,2020,2020/5/10,5月13日,えぞやまざくら
旭川,2011,2011/5/9,5月4日,えぞやまざくら
旭川,2012,2012/5/2,5月4日,えぞやまざくら
旭川,2013,2013/5/18,5月4日,えぞやまざくら
旭川,2014,2014/5/2,5月4日,えぞやまざくら
旭川,2015,2015/4/27,5月4日,えぞやまざくら
旭川,2016,2016/5/3,5月4日,えぞやまざくら
旭川,2017,2017/5/3,5月4日,えぞやまざくら
旭川,2018,2018/4/30,5月4日,えぞやまざくら
旭川,2019,2019/5/1,5月4日,えぞやまざくら
旭川,2020,2020/5/3,5月4日,えぞやまざくら
